FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(t),MainEngineDesigner,MainEngineModel,NumberOfEngines,ShipType
"SSS 2014","Ampere","Fjellstrand / Aluship","","Norled","Norway","January 2015","80.8m","Approx 14knots","","","0","","Siemens (electric motors)","","2","Ferry"
"SSS 2014","AS14","Aurora Ltd","Albatross Marine Design","Emergency Medical","Russian Federation","September 2014","15.3m","45knots @ full load","","","1","19tonnes","Seatec","Seatec850Plus","2",""
"SSS 2014","Atco Noura","Tor Marine","Macduff Ship Design","ATCO","Kingdom of Saudi Arabia","October 2014","45m","32knots","","371tonnes","0","372.2tonnes","Caterpillar","3516","4","Naval Vessel"
"SSS 2014","Baltika","Shipyard Yantar JSC (blocks) / Arctech Helsinki Shipyard (hull assembly, outfitting, painting and commissioning)","Arctech Helsinki Shipyard, based on the AKER ARC 100 concept by Aker Arctic Technology","Russian Federal","Russian Federation","December 2014","76.4m","14knots","","3,800","0","","Wärtsilä","Wärtsilä 9L26","3","Research Vessel"
"SSS 2014","Bhagwan Dryden","Keppel Singmarine","Incat Crowther","Bhagwan Marine","Australia","June 2014","56.8m","13knots@100% MCR (with 200tonnes dwt)","","1,500tonnes","0","1,430tonnes","Cummins","QSK-38-M Tier II","2","Ferry"
"SSS 2014","Bugsier 7","Fassmer","Fassmer","Bugsier-Reederei- und","Germany","June 2014","31.5m","13knots","","440tonnes","1","725tonnes","Anglo Belgian Corporation","12 DZC","2","Tug"
"SSS 2014","Burrard Otter II","Damen Shipyards (Singapore)","Robert Allan Ltd","Coast Mountain","Canada","October 2014","34.29m","13.5knots","","438tonnes (approx)","0","232tonnes","MTU/Detroit Diesel","Series 60 – 6062HK36","4",""
"SSS 2014","Chowgule 7","Shipbuilding Division, Chowgule and Company Private Limited","Groot Ship Design","Chowgule and Company","India","September 2014","67.2m","","","1,335tonnes (net tonnage 421tonnes )","1","","Volvo Penta, combined with ZF . deck-mounted Azimuth thrusters","","2","Container Ship"
"SSS 2014","CWind Sword","CTruk","CTruk","CWind and Ventus Workboats","UK","December 2014","22m","28knots","","34.6tonnes","0","44tonnes","Volvo","D12-1800 MC","2",""
"SSS 2014","Eddy1","Holland Shipyards","Eddy Tug","URAG","Germany","June 2014","30.3m","300rpm","","399tonnes","0","500tonnes","Mitsubishi","S16 R","2","Tug"
"SSS 2014","Elida","Hyundai Mipo Dockyard","Hyundai Mipo Dockyard","BP Shipping","UK","January 2014","97.08m","","","5,160tonnes","3","","Rolls-Royce","33L6A","4","Supply Vessel"
"SSS 2014","HB Hydra","Uzmar Shipbuilding","Robert Allan Ltd","Hidrovias do Brasil","Paraguay","Q2 2014","45.6m","13knots (free-running)","","1,250tonnes","6","1,500tonnes (wet season)","Wärtsilä","9L20","3",""
"SSS 2014","Horizon 9","Penguin Shipyard International","BMT Nigel Gee Ltd","Horizon Ferries","Singapore","September 2014","38.5m","29knots","","428tonnes","1","150tonnes","Caterpillar","C32 ACERT","3",""
"SSS 2014","Investigator","Teekay Holdings Australia / Sembawang Shipyard Pte","RALion (Robert Allan Ltd and Alion","Commonwealth Scientific and","Australia","July 2014","93.9m","15knots, 90% MCR SS2","","5,637tonnes","0","5,880tonnes (at loadline draught)","MAK","9M25C","3","Research Vessel"
"SSS 2014","Jeddah 53","Tor Marine","Macduff Ship Design","Saudi Port Authority","Kingdom of Saudi Arabia","January 2014","46m","","","496tonnes","1","1,112tonnes (max summer displacement)","Caterpillar","C18 ACERT","2","Barge"
"SSS 2014","Karina","Shipyard De Hoop","De Hoop","In negotiations","","July 2014","55.17m","","","493","6","","Caterpillar","Caterpillar 3516C","2",""
"SSS 2014","Metal Shark 45'","Metal Shark Boats","Bill Preston","Canaveral Pilots Association","US","December 2014","14.63m","25knots","","","0","","John Deere","13Liter 613SFM75 M-4","1","Pilot Boat"
"SSS 2014","Mikotahi","Q-West Boat Builders","Camarc Design","Port Taranaki Ltd","New Zealand","May 2014","19.5m","30knots","","","1","30tonnes","Scania","Di16 072M","2",""
"SSS 2014","Munin S1200","Norsafe","Norsafe","N/A (prototype)","N/A","N/A (prototype; launched September 2014)","12m","","","","0","","","","","Naval Vessel"
"SSS 2014","Muslim Magomayev","Incat Tasmania","Incat Crowther","Caspian Marine Services","Azerbaijan","September 2014","70m","36knots","","","0","683tonnes","MTU","MTU 16V4000 M73L","4",""
"SSS 2014","NH 1816","Damen Shipyard (Gorinchem)","W. de Vries-Lentsch","Royal Netherlands","The Netherlands","February 2014","19.3m","31knots","","","0","","MTU","8V2000M84L","2",""
"SSS 2014","Pacific Leader","Japan Marine United","Offshore Ship Designers","Swire Pacific","Singapore","April 2014","97.29m","15knots","","5,179tonnes","1","","MAN","6L27/38","4","Supply Vessel"
"SSS 2014","Seacat Intrepid","South Boats Isle of Wight Ltd","South Boats Isle of Wight Ltd","Seacat Services Ltd","UK","October 2014","26.77m","27knots","","108tonnes","0","(operational) circa 80tonnes (Lightship) 70tonnes","MTU","12V2000 M72","2",""
"SSS 2014","SMV 1","Mustang Marine","Supacat / Incat Crowther","James Fisher Marine Services","UK","March 2014","25.5m","30knots @ 90% MCR, crew/pax only","","85.22tonnes","0","115tonnes max","MAN","D2862-LE463","2","General Cargo"
"SSS 2014","Spirit of the Sound","Robert E Derecktor Inc","Incat Crowther","The Maritime Aquarium","US","September 2014","19.2m","12knots@100% MCR","","","0","45tonnes","Northern Lights","L0164A","2",""
"SSS 2014","Susie S","Damen","Damen","Windwave Workboats","UK","June 2014","19.7m","26knots","","39.42tonnes","0","","MTU","8V 2000 M72","2",""
"SSS 2014","Thaiyak","Strategic Marine","MMD Naval Architects","Australian Customs & Border Protection","Australia","June 2014","40m","13knots","","589tonnes","0","621tonnes (full load)","Caterpillar","C32","2",""
"SSS 2014","The Next Episode","Wim Van der Valk","Guido de Groot","Confidential","Confidential","May 2014","27.2m","25knots","","","0","65tonnes","Volvo Penta","IPS-1200 EVC-EC D13-900","3",""
"SSS 2014","Thea","Alnmaritec Ltd","Alnmaritec Ltd","Fugro","UK/UAE","April 2014","8.56m","15knots","","","0","5.5tonnes","Steyr","MO144 M38","2","Research Vessel"
"SSS 2014","Zeeaster","Baltic Workboats","Baltic Workboats","DAB Vloot","Belgium","August 2014","14.7m","22knots","","30tonnes","0","21.4tonnes","Volvo","D-9","2","General Cargo"
