FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(t),MainEngineDesigner,MainEngineModel,NumberOfEngines,ShipType
"SSS 2008","America","JM Martinac","Robert Allan Ltd","Signet Maritime","United States of America","March 2008","29.9m (excl. fenders)","13.5kts","","294 (US GRT) / 464 (International GRT)","1","742tonnes","MTU","16V-4000","2","Tug"
"SSS 2008","Apex","Astilleros Gondan SA, Spain","Robert Allan Ltd, Canada","Solent Towage Ltd/ Østensjø Rederi AS","United Kingdom","17 April 2008","37m","15kts","","643t","3","","Rolls-Royce","33 L8P","2","Tug"
"SSS 2008","Ark Tori","PT Batamec Shipyard, Indonesia – a subsidiary of","Conan Wu & Associates, Singapore","All-RK Offshore","Republic of Singapore","10 September 2008","67m","13kts design, actual 14.7kts","","2000grt","4","4535t","Wärtsilä","8L32","8 cylinders","Supply Vessel"
"SSS 2008","Atlantida Azul","Safehaven Marine","Safehaven Marine","Port of Sines, Portugal","Portugal","December 2008/ January 2009","16m","25.3kts at 2100rpm","","","1","","Scania","D16 V8","2",""
"SSS 2008","Caspian Breeze","Damen Shipyards Gorinchem","Damen Shipyards Gorinchem","Nico Middle East Ltd","United Arab Emirates","July 2008","35.95m","26kts at 100% MCR","","168t","1","170t","Caterpillar","C32 WSOR","3",""
"SSS 2008","Don Osiris","Damen Shipyards Gorinchem","Damen Shipyards Gorinchem","Naviera Integral SA de CV","Mexico","January 2009","50.3m","25kts","","427gt","2","630t","Caterpillar","3512B TA WOSR","4",""
"SSS 2008","Dong Hai Lu Dao","Wang Tak Engineering & Shipbuilding Co Ltd/Guangdong","Wang Tak Engineering & Shipbuilding Co Ltd & CMCS, AU","Shanghai Yatong","People’s Republic of China","December 2008","41.3m","30kts at 100% MCR","","567grt","-","145t","MTU","12V4000M70","2","Ferry"
"SSS 2008","Esnaad 710","Astilleros Balenciaga SA","Vik-Sandvik – VS547","Esnaad/Abu Dhabi","United Arab Emirates","31 May 2008","47.4m","12kts","","978","0","","Caterpillar","3516B rating","4","Tug"
"SSS 2008","Greatship Anjali","Colombo Dockyards","Moss Maritime AS, Finland","Greatship (India) Limited","India","January 2008","63.4m","","","1596gt","1","","MaK","8M25","2","Supply Vessel"
"SSS 2008","Handy One","Great Lakes Shipyard","Jensen Maritime Consultants","Tugz International LLC","United States of America","11 April 2008","22.6m (74ft)","12kts free running","","under 100gt","1","","Cummins","QSK 38 diesel","2","Tug"
"SSS 2008","FPV Hirta","Gdansk Shiprepair Yard “Remontowa” S.A., Poland","Remigiusz Ruszkowski","Scottish Ministers/Scottish","United Kingdom","12 May 2008","84m","18kt","","2182dwt","1","2349.092t","Wärtsilä","9L20","3","Fishing Vessel"
