FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(t),MainEngineDesigner,MainEngineModel,NumberOfEngines,ShipType
"SSS 2003","Aora","Macduff Shipyards","Macduff Shipyards","University Marine Biological Station, , Millport","Britain","April 2003 Aora, completedinAprilthisyear, isa22mresearchvesseldesignedandbuiltbyMacduffShipyards, ofGrampian, Scotland. Thecompletevesselwasbuiltin-house, withsteelbeingpreparedandcutathebuilder'sprofilingdivision. ThisisamoveawayfromMacduff'susualboats, whicharemoreusuallyfishingvessels","22.0m","10.5knots","","","","","Mitsubishi","S6MPTA","2","Naval Vessel"
"SSS 2003","Árbol Grande","Metalships & & Docks, , SAU","Sawicon AS","North Sea Commander Shipping AS","Norway","May 2003 InMay2003, VigoshipyardsMetalships & DocksSAdeliveredthebiggestoffshoresupportvesselbuiltinSpain, toNorwegiancompanyNorthSeaCommanderShippingA/S. ÁrbolGrandehasatotalengthof95m, a20mbreadth, andpowerof11,560hp. Thecontractforthisoffshorevesselamountsto35millionanditbeganbuildinginJanuary2002","94.28m","15.45knots","","5.530gt","","","Wärtsilä","6L26A; 8L26A","2",""
"SSS 2003","Bocayna Express","Austal Ships","Austal Ships","Fred Olsen, , SA","Spain","October 2003 TheAustal-builtcatamaranBocaynaExpresswasthisyeardeliveredtoEuropeanoperatorFredOlsen, SA","66.2m","40knots","","2578gt","","","MANB&W","2x18VP185and2x12VP185","4Outputofeachengine ...2x3500kWat1870rev/min; 2x2300kWat1840rev/minGearboxes","Ferry"
"SSS 2003","Caballo Andaluz","Hoop International Lobith BV","Scheepswerf de Hoop Lobith BV","Candies Mexican Investments S DE R L DE C V","Mexico","August 2003 CaballoAndaluzisanoffshoresupport, airdivingandlightmaintenancevesselwhichworksintheMexicanpartoftheGulfofMexico. HomeportisCdelCarmenandtheoperationalareaistheCantarellfield, offthecoastoftheYucatanpenisula. CaballoAndaluzdiffersfromhersister, CaballodeTroya, inthatsheislonger, withthreewebframes (of5.4m), andshehasadivingmoonpool","61.87m","12.0knots","","1570gt","","2120tonnes","Caterpillar","3508BDITA","3",""
"SSS 2003","Celtic Explorer","Damen Shipyards","5.50m","The Irish Marine Institute, , Dublin, , Ireland","Ireland","April 2003 DamenShipyards, Gorinchem, thisyearcompletedthecomplexandsophisticatedresearchvesselCelticExplorerfortheIrishMarineInstitute, Dublin. This65mshipwasconstructedbyDameninpartnershipwiththeVlissingenyardofRoyalScheldeandfollowstwotherimportantvesselspreviouslydeliveredtoIreland, theresearchvesselCelticVoyagerandthebuoymaintenanceshipGranuaille. TheworktobecarriedoutbythisnewvesselwillincludeaNationalSeabedSurveyinIrishwaters, performingavitalroleinmonitoringandrecordingfishstocks, oceanographictasks, andawiderangeofothermaritimeduties. ThenewvesselisonlythethirdofitskindinEuropeandrepresentsasignificantmilestoneinIrishmarineresearch","65.50m","","","","","","Wärtsilä","2x9L20, 1x6L20","3","Research Vessel"
"SSS 2003","C- -Leader","Edison Chouest Offshore; ; North American Fabricators","Edison Chouest Offshore","Edison Chouest Offshore/ /Shell","USA","February 2003 C-Leader (Hull218), anoffshoresupportvessel, wascompletedatNorthAmericanFabricators (NAF) andwasdeliveredtoShellinearlyFebruary2003. ThisvesselisthefirstinaseriesofivesisterstobebuiltatNAF","85.34m","","","","","","Caterpillar","3608Diesels","2Bowthrusters",""
"SSS 2003","CMM Veracruz and CMM Cordoba","Union Naval Valencia, , SA","Cintranaval/ /Union Naval Valencia","Corporaction Maritima Mexicana SA de CV","Mexico","April 2003 BuiltbyUnionNavalValenciaforCorporactionMaritimaMexicana, theseidenticaltractortugsweredeliveredinAprilthisyear. TheyaresetoworkaroundthePortofCoatzacoalcos, inMexico","30.50m","13.5knots","","413gt","","","Caterpillar","3606MAR","2",""
"SSS 2003","EGE- -5","Uzmar Uzmanlar Denizcilik Tic San Ltd Sti","Robert Allan Ltd","Uzmar Uzmanlar Denizcilik Tic San Ltd Sti","Turkey","January 2003 InJanuary2003, thehighperformancetugEGE-5wascompleted. BuiltbyUzmar-UzmanlarShippingandTradingCompanyLtd, ofIzmir, Turkey, foritsownoperation (andpotentialresale), thenewASDClass25/45tugwasdesignedbyRobertAllanLtd, andbuiltunderdirectionoftheowneratheGe-TaShipyardinTuzla, Istanbul","25m","13knots","","271.12gt","","","Deutz","SBV6M628","2","Tug"
"SSS 2003","Fairweather","Derecktor Shipyards","Nigel Gee & & Associates","State of Alaska","USA","24 February 2004 ThiscatamaranferrywasdesignedbyNigelGee & AssociatesforDerecktor'sbidontheAlaskaMarineHighwaySystemProject. Itisdesignedtobeasafe, high-speedro-ropassengerferrythatminimisescostsandcaninterfacewithexistingAMHSdocksandpiersidefacilities","72.00m","35knots","","","","","MTU","16V595TE70","4","Ro-Ro"
"SSS 2003","Farset of Belfast","VT Halmatic Ltd","VT Halmatic/ /T T Boat Designs","D Ferran & & Son","Northern Ireland","June 2003 FarsetofBelfast, namedafteroneoftheriversflowingintoBelfastLough, isa15.40mworkboathatwasorderedatSeawork2002byDFerranandSons. ItwillbeusedforgeneraldutiesinBelfastHarbour","15.43m","11.6knots","","","","55tonnes","VolvoPenta","D12-550","2",""
