FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(t),MainEngineDesigner,MainEngineModel,NumberOfEngines,ShipType
"SSS 2013","ANDA","Swede Ship Marine","","Kartverket","Norway","December 2013","11.15m","28knots","","","0","12.4tonnes","Iveco","N67 ENT M45","2","Research Vessel"
"SSS 2013","Astra G/ Aquarius G","Maaskant Shipyards Stellendam","Saltwater Engineering","Rederij Groen","The Netherlands","April / May 2013 2013 saw The Netherlands-based Damen","40m","","","499tonnes","0","","Caterpillar","C32 Acert","2",""
"SSS 2013","Bert and Anneke Knape","Habbeké Shipyard","DSMG","KNRM","Holland","August 2013","9.15m","34knots","","4tonnes","3","","Volvo Penta","D6-435","1",""
"SSS 2013","Borgøy","Sanmar","Marine Design","Buksér og Berging","Norway","October 2013","35m","","","757tonnes","1","","Rolls-Royce Bergen","33L6PG","2","LNG Carrier"
"SSS 2013","Calais Majest’In","Alumarine Shipyard","Stirling Design International","Syndicat Intercommunal des","France","May 2013","19.7m","","","","0","","Iveco","","1",""
"SSS 2013","Deurloo","Baltic Workboats","Baltic Workboats","Belgium Vloot DAB","Belgium","July 2013","20.3m","30knots","","48tonnes","3","34tonnes","Volvo Penta","D16","2","Pilot Boat"
"SSS 2013","Elizabeth Cook","Richardson Devine Marine","Incat Crowther","Captain Cook Cruises","Australia","November 2013","23.9m","24knots","","17.5tonnes","0","","Scania","DI13 070M","2","Ferry"
"SSS 2013","Francisco","Incat Tasmania","Revolution Design","Buquebus","Uruguay","July 2013","99m","","","7,109tonnes","0","1,563tonnes","GE","LM 2500","2","Ferry"
"SSS 2013","Grampian Sovereign","Astilleros Balenciaga","OSD-IMT","Craig Group / North Star Shipping","UK","May 2013","83.2m","14knots+","","3,104tonnes","1","","Caterpillar","MaK 9M20","4","Supply Vessel"
"SSS 2013","Isefjord","Western Marine Shipyard","Jorgen Petersen Ltd / Norman Marine","Hundested-Rorvig Faergefart","Denmark","February 2013","51m","14knots","","475tonnes","0","","Cummins","QSK19 MCRS","2","Ferry"
"SSS 2013","Jin Gang Lun 26","Shanghai Harbour","Robert Allan Limited","Tianjin Port","China","November 2013","35m","14.3knots","","583tonnes","0","1,059tonnes","Daihatsu","8DKM-28eF","2","Tug"
"SSS 2013","Jock and Annie Slater","SAR Composites / Berthon Boat Company","RNLI FCB2 Project Team","RNLI","UK","July 2013 2013 saw the delivery of the UK Royal National","13.6m","25knots","","","0","17.48tonnes","Scania","DI13 072M","2",""
"SSS 2013","Luigi Dattilo","Fincantieri","Fincantieri","Comando Generale del Corpo delle Capitanerie di Porto – Guardia Costiera Italiana","Italy","September 2013","94.2m","18knots","","3,990tonnes","0","3,600tonnes","General Electrics","GE 12V 228","2","General Cargo"
"SSS 2013","MYA II","Fassmer","Fassmer","Alfred-Wegener-","Germany","July 2013","21.68m","","","75tonnes","0","100tonnes","MAN B&W","D2876 LE 407","1","Research Vessel"
"SSS 2013","OCEAN TundRA","Ocean Industries","Robert Allan Ltd","Ocean Group","Canada","December 2013","36m","14knots","","708tonnes","0","1,250tonnes","MAK","9M25C","2","Tug"
"SSS 2013","Peter Fraser","Chantier Naval Forillon","Navtech Inc","Société des traversiers du Québec","Canada","September 2013","33.6m","","","291.8tonnes","0","340tonnes","Volvo Penta","D16MG","2","Ro-Ro"
"SSS 2013","Proteus of Liverpool","Blyth Workcats","Blyth Workcats","Osiris Projects","UK","October 2013","14m","24knots","","13.41tonnes","0","20tonnes","Cummins","QSC 8.3","2","Container Ship"
