FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(t),MainEngineDesigner,MainEngineModel,NumberOfEngines,ShipType
"SSS 2016","AHTO-14","BalticWorkboats","","EestiLootsAS (EstonianPilotLtd)","Estonia","December2015Deliveredinlate2015, thusnarrowlymissingthedeadlineforlastyear’sSignificantSmallShipscollection, the14.95maluminiumwave-piercingvesselAHTO-14representedthedebutmodelinBalticWorkboats’ Pilot1500WPclass – adesignthatBalticWorkboatshasdevelopedtofferusers “top-of-the- segmentseakeepingcapability”","14.95m","27knots","","32tonnes","","21.4tonnes","Volvo","D13","2","Naval Vessel"
"SSS 2016","AlMubshir","AustalAustralia","AustalAustralia","RoyalNavyofOman","Oman","May2016AsthefirstoftwosistervesselsdesignedandbuiltfortheRoyalNavyofOman (RNO), Austal’s72.5mloahigh-speedsupportvessel (HSSV) AlMubshircouldbedescribedasamorecompactandlightweightakeonanestablishedwarshipdesign","72.5m","40knots","","3,475tonnes","","1,020tonnes","MTU","20V400","4","Naval Vessel"
"SSS 2016","AlbertNile-1","Damen","Damen","UgandaNationalRoadsAuthority (UNRA)","Uganda","May2016Notably, theDamen-designed, 42.4mferryAlbertNile-1hasbeenentirelyconfiguredfromcontainer-sizedfloatingunits","42.4m","8.9knots","","149tonnes","","245tonnes (nopax/novehicles)","Perkins","1006-6TW","4","Ferry"
"SSS 2016","AtlanticPioneer","BlountBoats, Inc","SouthBoatsIOW","AtlanticWindTransfers","US","April2016ThefirstUS-builtand -flaggedoffshorewindfarmsupportvesselofficiallyleftheblocksinApril, intheformofthe21.4mAtlanticPioneer","21.4m","30knots","","80tonnes","","76tonnes","MAN","D2862LE466","2",""
"SSS 2016","Bøkfjord","HvideSandeShipyard, Steel & Service","HVSA / OSK-ShipTech","Kystverket","Norway","August2016Measuring44mx11.4m, andesignedinclosecooperationbetweenKystverket, HvideSandeShipyard, Steel & ServiceandJorgenPetersenLtd (nowpartofOSK-ShipTech), themulti-purposevesselBøkfjordhasbeendescribedasconstituting “twovesselsinonehull”","44m","13.5knots","","935tonnes","","1,009tonnes","Caterpillar","C32","3",""
"SSS 2016","CRCGalaxy","Ribcraft /GoodchildMarine","BruceSexton-Barrow","CommercialRibCharter","UK","June2016BilledasbeingthelargestRIBtoenteritsfleetodate, CommercialRibCharter’s (CRC’s) 15mcabincraftCRCGalaxyhasbeendevelopedtofulfilawiderangeofmarinemissions, includingcrewtransfer – particularlyinvolvingoffshorewindturbinefarms – andsurvey/divework","15m","35knots","","12tonnes","","15.5tonnes (loaded)","VolvoPenta","D6435","2","Research Vessel"
"SSS 2016","ElectrafAskö","BalticWorkboats","BalticWorkboats","StockholmUniversity","Sweden","June2016Lastyear, StockholmUniversity, Swedenenhanceditsofferingstostudentsandguestscientistsbytakingdeliveryofanewscientificresearchvessel, Electra. AssembledbyEstonianbuilderBalticWorkboats, Electrahasbeendevelopedtocarryupto35passengers, inadditiontocrew, andhermaintasksaretoundertakeresearchworkontheBalticSeandtoferrystudentsbetweenthemainlandcampusandtheuniversity’sresearchlabonAsköIsland, situatedintheTrosarchipelago, approximately80kmsouthofStockholm. Thislatterhub, surroundedbyhundredsofislands, servesasavaluablemaritimeresearchcentreforstudentsandvisitingscientistsalike","24.3m","12knots","","182tonnes","","172tonnes","VolvoPenta","D16MH","2","Research Vessel"
"SSS 2016","Embla","Rafnar","ÖssurKristinsson/PállEinarsson","Rafnar","Iceland","ClassifiedEmblarepresentsthedebutanteinIcelandicboatyardRafnar’sLeiftur1100CabinExplorerRIBclass, developedtoachieveandmaintainhighoperationalspeedsintheroughestofenvironments. Indeed, the11.1mRIB’s1,307nmaidenvoyagefromIcelandtoGothenburg, Sweden, whichtookplaceinMay2016, sawhertakealltheNorthAtlantichadtothrowatherintermsofwind, rainandevenanoutboard- wreckinglog. However, aminorepairaside, Emblandhersix-mancomplementmadeitoSwedenunscathed, justifyingtheLeiftur1100CabinExplorerRIB’sreputationasthe ‘workhorse’ oftheRafnarange","11.1m","42knots","","11.02tonnes","","4.3tonnes","Evinrude","E-TECG2","2",""
"SSS 2016","Evolution","MarineEngineeringConsultants","IncatCrowther","DownUnderCruiseandDive","Australia","February2016Evolution, whichwasdesignedandbuiltforDownUnderCruise & DiveofCairns, Australia, andeliveredinFebruary2016, isintendedtorepresentacrossbetweenamotoryacht – specificallyintermsofstyleandcomfort – andamorerugged, utilitarianaluminiumcommercialvessel, inordertoprovideaworkable, yetattractive, meansofescortingpassengerstoandfromtheGreatBarrierReef","33.65m","","","297tonnes","","145tonnes","MAN","D2862LE463","2","Yacht"
"SSS 2016","FosnaTriton","MaritimePartner","MaritimePartner","AbyssAqua","Norway","May2016FosnaTritonmadeanimmediateimpressionin2016asthefirstailor-madeoceanfarmingvesseltobedeliveredbyNorway’sMaritimePartner","15.8m","35knots","","18.7tonnes","","","Scania","DI13","2","Fishing Vessel"
