FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(t),MainEngineDesigner,MainEngineModel,NumberOfEngines,ShipType
"SSS 2002","Arkad- -1 ( (& & Arkad- -2) )","Uzmar Uzmanlar Shipping and Trading Co","Robert Allan Ltd","Egon Oldendorff","Turkish","August 2002 TheASDtugsArkad-1andArkad-2weredesignedandbuiltexpresslytoperformauniquebarge- handlingoperationatheIskenderunthermalpowerstationinsouthernTurkey. Duetorelativelyshallowater, bulkcarriersmustbelighteredoffshore. Thecargoistransferredvia floatingoffshoreshipunloaderintoapairof10,00dwtself-unloadingbarges. Thetugsmanoeuvrethebargesintoplaceunderthetwin-hulledfloatingunloader (muchlikethreadingtheyeofaneedle, withverylittlemarginforerror), andthenpushthemtoshoreforthefinalcargotransfer, returningwithanemptybarge","26.00m","12.8knots","","","","","Cummins/Stanford","3512B","2","Barge"
"SSS 2002","Cheung Chau, , Sha Chau, , Ap Chau, , Yueng Chau","Kegoya Dock Co Ltd, , Kure, , Japan","Imamura Shipbuilding Co Ltd/ /Hong Kong Salvage & & Towage","Hong Kong United Dockyards Ltd","Hong Kong","September 2002, , October 2002, , January 2003, , March 2003 HongKongSalvage & Towage (HKST) hasrecentlytakendeliveryoftwofthefirstsixnewbuildingsorderedfromKegoyaDockCofKure, Japan. ThefirstfourvesselsarebaseduponitsearlierPengChauclass, althoughthenewtugsareslightlylonger, theyaremuchquieterinthecrewspaces, andfeaturewhatisclaimedtobeanimprovedaccommodationlayout. At400bhpandclassedforoceangoing, thesecompactugsarealsoidealforharbourtowage. ThefinaltwonewbuildingswillbeupgradesontheLamTongclassofharbourtugs","29.00m","13.35m","","295gt","","596.34tonnes (fulload)","TaiyoElectricCoLtdTWY28DS","6N260-EN","Two","Tug"
"SSS 2002","Christian Reinauer","Alabama Shipyard Inc","Ocean Tug & & Barge Engineering","Reinauer Transportation Companies","United States Totalnumberofsistershipsalreadycompleted...Three","December 2001 ChristianReinauerisaseagoingtug, fromOceanTug & BargeEngineeringCorp'sAtlanticlasseriesofArticulatedTug/Barges (AT/B). ThepowerportionofanAT/Btugisdesignedtofitintothenotchofa145,00 barrel-capacityoceandouble-hulledtankbarge, RTC145. ChristianReinaueristhesecondvesselofthisclassfortheReinauerTransportationCompaniesfleet, basedinNewYork","37.87m","","","196.97gt (domestic) 779gt (international)","","1600tonnes","Caterpillar3304","3612","2","Tug"
"SSS 2002","Elite","Wang Tak Engineering & & Shipbuilding Co Ltd","Wang Tak Engineering & & Shipbuilding Co Ltd","Fire Services Department, , HKSAR","HKSAR","April 2002 ThefireboatElitewasdeliveredinAprilandnowactsasareplacementfortheagedAlexanderGrantham, fortheFiresServicesDepartment, HKSAR. ShehasbeeninservicesinceMay","42.50m","over15knots @ 100% MCR","","653gt","","650tonnes","Caterpillar","CAT3516B","2",""
"SSS 2002","GACMumtaz","DubaiDrydocks","SeatechSolutions, SingaporeFlagPanama","InternationalWorldShippingAgenciesSA/GulfAgencyCo","","22August2002DubaiDrydocksdeliveredit'sfirstdoubleskinnedvesselthisummer, the45moffshoreserviceshipGACMumtaztoGulfAgencyCo. Thispecialistdesign - claimedtobetheworld'sonlydoubleskin, purposebuiltlubeoilbarge - willoperateoffFujairah, supplyinglubricatingoil, freshwater, stores, andsparestotheshipsthatusethebusyanchorageofftheastcoastoftheUnitedArabEmirates. GACMumtazwascompletedaheadofschedule","45m","","","499tonnes","","1102tonnes","LeroySomerLSAM462M5","KTA19M4","2","Barge"
"SSS 2002","Haven Hornbill","Halmatic Ltd","Halmatic Ltd","Harwich Haven Authority","British","July 2002 HavenHornbillisatwinscrewmulti-roleoilspillrecoveryvesselof19.50mandhasaweldedsteelhullthroughout. Herhullisoflat-bottomsinglechineconfiguration, withswimendsforwardandaft. ThisalsoincorporatesashallowVcounterandtransomsternwithroundedquarters. ShewilloperateatHarwichport, forHarwichHavenAuthority","19.50, Length, overfenders..........................................20.20m","11.6knots","","","","215tonnes","suppliedwithengine","DI14-74M","2",""
"SSS 2002","Otra","Innovation A/ /S","Jon Boye Andersen","Kristiansand Fire Department, , Norway","Norwegian","July 31 2002 KristiansandFireDepartmentookdeliveryofitsnew9.7mfastresponse/rescuecraftathendofJuly2002. OtrawasbuiltbyInnovationA/S. TheInnovationaluminiumhullfeaturesthreewatertightbulkheads, deepVfrontsectionandamonohedronVintheaftsection, withwidersternsection, andisdesignedformanoeuvrability, goodseakeeping, andisastableworkplatform","10.8m","37knots","","","","max5.5tonnes","ZF","Cat3126B","1",""
"SSS 2002","Svalbard","Langsten A/ /S","6.5m","Royal Norwegian Navy Material Command","Norway","18th January 2002 Svalbardispurposebuiltoperateinice-coveredwaters, andisabletoworkina1mthick, oneyearoldpolaricecap, andcanbreakicebeltsofupto4m","103.7m","+17knots","","6375tonnes","","","ABBPropeller","BergenDieselBRG-8","4","Icebreaker"
"SSS 2002","Three Counties","Mustang Marine ( (Wales) ) Ltd","Chris Baker - - Marine Data ( (IOM) ) Ltd","Eastern Sea Fisheries","British","July 2002 ThreeCountiesfromMustangMarine (Wales) Ltdisan18mfisheriesresearchvesseldesignedbyChrisBaker, ofMarineData (IOM) Ltd, tomeetherequirementsofEasternSeaFisheriesJointCommittee, toprovideresearchservicestotheinshorefishery (6milesoffshore) fromSkegnesstoDovercourt, Suffolk. ThreeCountiesisalsoavailabletotheragenciesforsurveywork","18.00m","12.7knots","","","","55tonnes, fullyladen","Twindisc","NTA14M","2","Research Vessel"
"SSS 2002","Xplorer","Gemini Workboats","Andrew Craig","Dave Burden - - Sea Trax","UK","4 March 2002 GeminiWorkboats, basedinColchester, UK, launchedandelivereditsfirstFastCatdesign, Xplorer, inMarch2002. ShewasbuiltforPortsmouth- basedfirmSeaTrax, andwillbeusedforsurveyandfilmwork, onlocationsallaroundtheUK","11.83m","27knots","","13tonnes","","13tonnes","Cumminsinsulatedreturn","6CTA8.3M3","2",""
